Message: I'm a message || Type: error || Creation Date: 24-06-2016 10:56:21
Message: I'm a message || Type: warning || Creation Date: 24-06-2016 10:56:21
Message: I'm a message || Type: notice || Creation Date: 24-06-2016 10:56:21Message: I'm a message || Type: error || Creation Date: 24-06-2016 11:44:20
Message: I'm a message || Type: warning || Creation Date: 24-06-2016 11:44:20
Message: I'm a message || Type: notice || Creation Date: 24-06-2016 11:44:20
Message: I'm a message || Type: error || Creation Date: 24-06-2016 11:51:01
Message: I'm a message || Type: warning || Creation Date: 24-06-2016 11:51:01
Message: I'm a message || Type: notice || Creation Date: 24-06-2016 11:51:01
Message: I'm a message || Type: error || Creation Date: 24-06-2016 15:05:34
Message: I'm a message || Type: warning || Creation Date: 24-06-2016 15:05:34
Message: I'm a message || Type: notice || Creation Date: 24-06-2016 15:05:34
Message: I'm a message || Type: error || Creation Date: 27-06-2016 09:03:54
Message: I'm a message || Type: warning || Creation Date: 27-06-2016 09:03:54
Message: I'm a message || Type: notice || Creation Date: 27-06-2016 09:03:54
Message: I'm a message || Type: error || Creation Date: 27-06-2016 09:08:09
Message: I'm a message || Type: warning || Creation Date: 27-06-2016 09:08:09
Message: I'm a message || Type: notice || Creation Date: 27-06-2016 09:08:09
Message: I'm a message || Type: error || Creation Date: 27-06-2016 09:26:17
Message: I'm a message || Type: warning || Creation Date: 27-06-2016 09:26:17
Message: I'm a message || Type: notice || Creation Date: 27-06-2016 09:26:17
Message: I'm a message || Type: error || Creation Date: 27-06-2016 09:31:58
Message: I'm a message || Type: warning || Creation Date: 27-06-2016 09:31:58
Message: I'm a message || Type: notice || Creation Date: 27-06-2016 09:31:58
Message: I'm a message || Type: error || Creation Date: 27-06-2016 12:07:27
Message: I'm a message || Type: warning || Creation Date: 27-06-2016 12:07:27
Message: I'm a message || Type: notice || Creation Date: 27-06-2016 12:07:27
